Patient_ID,WGS_TMB,WGS_TMB_with_synonymous,exons_TMB,exons_TMB_with_synonymous,introns_TMB,intergenic_TMB,exons_WGS_TMB,exons_WGS_TMB_with_synonymous,splice_WGS_TMB,introns_WGS_TMB,intergenic_WGS_TMB,regulatory_WGS_TMB,exons_SNV_TMB,exons_deletion_TMB,exons_insertion_TMB,exons_syn_SNV_TMB,exons_syn_deletion_TMB,exons_syn_insertion_TMB,introns_SNV_TMB,introns_deletion_TMB,introns_insertion_TMB,intergenic_SNV_TMB,intergenic_deletion_TMB,intergenic_insertion_TMB
NSLC-0001,2.295,2.3,1.872,2.028,2.289,2.326,0.058,0.063,0.003,1.008,1.138,0.088,1.687,0.137,0.049,1.843,0.137,0.049,2.077,0.112,0.1,2.132,0.095,0.099
NSLC-0002,2.175,2.181,1.697,1.882,2.183,2.198,0.053,0.059,0.003,0.961,1.071,0.087,1.57,0.098,0.029,1.755,0.098,0.029,1.997,0.112,0.074,2.024,0.11,0.064
NSLC-0003,1.817,1.822,1.453,1.599,1.764,1.884,0.044,0.049,0.004,0.777,0.922,0.071,1.317,0.078,0.059,1.463,0.078,0.059,1.559,0.103,0.102,1.684,0.095,0.105
NSLC-0004,2.37,2.375,1.921,2.077,2.418,2.357,0.058,0.063,0.005,1.065,1.142,0.099,1.726,0.098,0.098,1.882,0.098,0.098,2.212,0.118,0.088,2.176,0.104,0.076
NSLC-0005,6.335,6.352,5.676,6.193,6.843,5.952,0.176,0.193,0.01,3.014,2.883,0.252,5.53,0.117,0.029,6.046,0.117,0.029,6.615,0.126,0.102,5.754,0.104,0.094
NSLC-0007,0.993,0.995,0.829,0.887,1.009,0.989,0.026,0.028,0.001,0.444,0.479,0.042,0.712,0.068,0.049,0.77,0.068,0.049,0.88,0.071,0.058,0.883,0.063,0.044
NSLC-0008,1.909,1.915,1.707,1.872,1.907,1.924,0.051,0.057,0.005,0.84,0.948,0.066,1.521,0.098,0.088,1.687,0.098,0.088,1.706,0.105,0.095,1.761,0.075,0.088
NSLC-0009,1.36,1.363,0.946,1.043,1.321,1.419,0.029,0.032,0.002,0.582,0.698,0.05,0.897,0.029,0.02,0.995,0.029,0.02,1.209,0.073,0.04,1.308,0.067,0.044
NSLC-0010,0.246,0.246,0.146,0.156,0.216,0.277,0.005,0.005,0,0.095,0.134,0.012,0.127,0.01,0.01,0.137,0.01,0.01,0.181,0.022,0.014,0.238,0.023,0.016
NSLC-0011,3.086,3.094,2.126,2.36,3.113,3.124,0.066,0.073,0.004,1.371,1.524,0.122,1.941,0.137,0.049,2.175,0.137,0.049,2.84,0.175,0.098,2.918,0.124,0.082
NSLC-0012,2.3,2.306,1.736,1.902,2.285,2.348,0.052,0.058,0.004,1.007,1.148,0.089,1.609,0.078,0.049,1.775,0.078,0.049,2.096,0.118,0.072,2.192,0.086,0.07
NSLC-0013,1.635,1.639,1.502,1.619,1.685,1.601,0.045,0.049,0.004,0.742,0.781,0.063,1.326,0.059,0.117,1.443,0.059,0.117,1.461,0.087,0.136,1.409,0.081,0.111
NSLC-0015,1.537,1.541,1.307,1.414,1.581,1.515,0.041,0.044,0.002,0.696,0.732,0.066,1.151,0.117,0.039,1.258,0.117,0.039,1.447,0.089,0.045,1.405,0.078,0.032
NSLC-0017,2.413,2.421,1.765,1.989,2.483,2.396,0.055,0.062,0.003,1.093,1.16,0.103,1.629,0.088,0.049,1.853,0.088,0.049,2.263,0.125,0.094,2.207,0.108,0.081
NSLC-0018,3.75,3.759,2.487,2.77,3.672,3.894,0.076,0.085,0.006,1.617,1.913,0.138,2.428,0.049,0.01,2.711,0.049,0.01,3.475,0.129,0.067,3.71,0.122,0.061
NSLC-0019,0.182,0.183,0.156,0.185,0.149,0.211,0.005,0.006,0,0.066,0.108,0.004,0.117,0.02,0.02,0.146,0.02,0.02,0.119,0.021,0.009,0.176,0.021,0.014
NSLC-0021,1.294,1.297,1.141,1.248,1.317,1.284,0.036,0.04,0.001,0.58,0.626,0.05,0.965,0.107,0.068,1.073,0.107,0.068,1.172,0.087,0.059,1.166,0.082,0.035
NSLC-0024,1.097,1.1,1.043,1.161,1.198,1.015,0.032,0.036,0.002,0.528,0.503,0.032,0.985,0.039,0.02,1.102,0.039,0.02,1.062,0.078,0.057,0.912,0.059,0.045
NSLC-0026,1.499,1.505,1.336,1.512,1.516,1.495,0.04,0.045,0.004,0.668,0.733,0.055,1.219,0.068,0.049,1.395,0.068,0.049,1.384,0.094,0.038,1.393,0.07,0.032
NSLC-0027,1.041,1.045,0.878,0.995,0.984,1.099,0.027,0.031,0.002,0.434,0.541,0.037,0.722,0.078,0.078,0.839,0.078,0.078,0.853,0.054,0.078,0.981,0.05,0.068
NSLC-0028,1.103,1.105,0.956,1.004,1.168,1.058,0.029,0.031,0.002,0.514,0.52,0.037,0.907,0.049,0,0.956,0.049,0,1.036,0.083,0.049,0.961,0.051,0.045
NSLC-0029,1.964,1.971,1.765,1.989,1.936,1.999,0.055,0.062,0.003,0.853,0.977,0.076,1.512,0.146,0.107,1.736,0.146,0.107,1.76,0.113,0.062,1.784,0.124,0.091
NSLC-0030,0.833,0.835,0.829,0.897,0.856,0.814,0.026,0.028,0.001,0.377,0.4,0.029,0.702,0.107,0.02,0.77,0.107,0.02,0.736,0.086,0.034,0.716,0.071,0.027
NSLC-0031,0.986,0.988,0.77,0.829,0.951,1.029,0.023,0.025,0.002,0.419,0.508,0.034,0.653,0.059,0.059,0.712,0.059,0.059,0.839,0.053,0.059,0.913,0.056,0.059
NSLC-0032,2.914,2.919,1.999,2.126,2.929,2.959,0.063,0.067,0.003,1.29,1.454,0.104,1.697,0.244,0.059,1.824,0.244,0.059,2.518,0.318,0.093,2.591,0.281,0.087
NSLC-0033,1.83,1.836,1.638,1.814,1.819,1.851,0.05,0.056,0.004,0.801,0.896,0.08,1.385,0.107,0.146,1.56,0.107,0.146,1.663,0.081,0.075,1.689,0.086,0.076
NSLC-0036,1.312,1.314,1.083,1.122,1.284,1.35,0.033,0.034,0.003,0.566,0.662,0.05,0.887,0.137,0.059,0.926,0.137,0.059,1.154,0.086,0.044,1.261,0.048,0.041
NSLC-0037,1.537,1.541,1.404,1.551,1.531,1.549,0.044,0.049,0.002,0.675,0.758,0.058,1.307,0.049,0.049,1.453,0.049,0.049,1.375,0.068,0.089,1.403,0.066,0.081
NSLC-0042,0.372,0.374,0.419,0.478,0.327,0.406,0.013,0.015,0.001,0.144,0.201,0.013,0.4,0,0.02,0.458,0,0.02,0.296,0.022,0.009,0.367,0.027,0.012
NSLC-0043,2.691,2.697,1.95,2.126,2.799,2.648,0.059,0.065,0.005,1.233,1.286,0.108,1.716,0.146,0.088,1.892,0.146,0.088,2.496,0.189,0.114,2.412,0.14,0.096
NSLC-0044,0.933,0.936,0.829,0.926,0.955,0.921,0.024,0.027,0.003,0.421,0.442,0.043,0.731,0.068,0.029,0.829,0.068,0.029,0.867,0.061,0.027,0.86,0.038,0.023
NSLC-0045,1.091,1.095,0.897,1.014,1.105,1.091,0.028,0.032,0.001,0.487,0.542,0.033,0.8,0.088,0.01,0.917,0.088,0.01,0.983,0.065,0.057,0.983,0.062,0.045
NSLC-0046,0.762,0.765,0.663,0.741,0.75,0.779,0.02,0.023,0.002,0.33,0.383,0.027,0.478,0.098,0.088,0.556,0.098,0.088,0.673,0.049,0.028,0.698,0.055,0.027
NSLC-0047,0.711,0.715,0.585,0.692,0.696,0.732,0.018,0.021,0.001,0.307,0.365,0.021,0.536,0.029,0.02,0.644,0.029,0.02,0.619,0.054,0.024,0.644,0.05,0.038
NSLC-0048,1.407,1.41,1.2,1.297,1.428,1.402,0.038,0.042,0.001,0.629,0.688,0.05,1.043,0.098,0.059,1.141,0.098,0.059,1.282,0.09,0.057,1.289,0.061,0.052
NSLC-0049,1.353,1.357,1.161,1.297,1.375,1.346,0.036,0.041,0.002,0.606,0.659,0.05,0.965,0.127,0.068,1.102,0.127,0.068,1.227,0.089,0.059,1.214,0.079,0.052
NSLC-0050,0.302,0.303,0.185,0.224,0.263,0.342,0.006,0.007,0,0.116,0.17,0.011,0.137,0.039,0.01,0.176,0.039,0.01,0.223,0.024,0.016,0.3,0.031,0.012
NSLC-0053,1.114,1.117,1.083,1.18,1.123,1.109,0.034,0.037,0.001,0.495,0.546,0.038,0.926,0.098,0.059,1.024,0.098,0.059,0.995,0.081,0.048,0.994,0.07,0.045
NSLC-0054,2.48,2.487,1.502,1.707,2.501,2.524,0.047,0.054,0.002,1.101,1.238,0.092,1.404,0.068,0.029,1.609,0.068,0.029,2.301,0.124,0.075,2.324,0.123,0.076
NSLC-0055,6.681,6.69,4.106,4.369,6.614,6.897,0.125,0.134,0.01,2.913,3.371,0.262,3.872,0.195,0.039,4.135,0.195,0.039,6.351,0.205,0.059,6.581,0.269,0.047
NSLC-0057,2.965,2.971,2.106,2.272,2.882,3.088,0.065,0.071,0.004,1.269,1.516,0.111,1.95,0.098,0.059,2.116,0.098,0.059,2.698,0.097,0.087,2.926,0.09,0.072
NSLC-0058,1.433,1.436,1.258,1.365,1.493,1.393,0.039,0.042,0.002,0.658,0.664,0.07,1.161,0.068,0.029,1.268,0.068,0.029,1.369,0.088,0.036,1.3,0.063,0.03
NSLC-0059,0.243,0.243,0.293,0.312,0.202,0.274,0.01,0.01,0,0.089,0.136,0.008,0.263,0.02,0.01,0.283,0.02,0.01,0.167,0.017,0.019,0.237,0.022,0.015
NSLC-0062,1.564,1.566,1.443,1.521,1.529,1.601,0.044,0.047,0.003,0.673,0.782,0.061,1.239,0.137,0.068,1.317,0.137,0.068,1.373,0.096,0.059,1.441,0.101,0.059
NSLC-0063,0.471,0.472,0.468,0.507,0.48,0.464,0.014,0.016,0.001,0.211,0.223,0.021,0.429,0.029,0.01,0.468,0.029,0.01,0.433,0.028,0.018,0.437,0.017,0.01
NSLC-0064,1.603,1.607,1.551,1.687,1.711,1.516,0.045,0.05,0.005,0.753,0.74,0.058,1.297,0.215,0.039,1.434,0.215,0.039,1.503,0.126,0.082,1.348,0.106,0.062
NSLC-0065,9.297,9.325,8.143,9.001,10.045,8.743,0.251,0.279,0.016,4.425,4.214,0.391,7.899,0.195,0.049,8.758,0.195,0.049,9.83,0.139,0.077,8.553,0.112,0.077
NSLC-0066,0.994,0.994,0.722,0.741,0.995,1.01,0.023,0.023,0.001,0.438,0.499,0.033,0.653,0.049,0.02,0.673,0.049,0.02,0.894,0.069,0.031,0.934,0.05,0.025
NSLC-0067,1.53,1.534,1.239,1.365,1.516,1.56,0.037,0.042,0.003,0.668,0.762,0.06,1.112,0.078,0.049,1.239,0.078,0.049,1.389,0.075,0.053,1.462,0.055,0.044
NSLC-0068,0.302,0.303,0.283,0.302,0.28,0.322,0.008,0.009,0.001,0.123,0.162,0.008,0.234,0.029,0.02,0.254,0.029,0.02,0.241,0.021,0.018,0.288,0.019,0.015
NSLC-0069,0.957,0.959,0.819,0.897,0.918,0.998,0.024,0.027,0.003,0.404,0.487,0.039,0.731,0.039,0.049,0.809,0.039,0.049,0.805,0.061,0.052,0.883,0.059,0.056
NSLC-0071,1.64,1.643,1.297,1.385,1.589,1.704,0.041,0.044,0.002,0.7,0.835,0.063,1.161,0.068,0.068,1.248,0.068,0.068,1.447,0.081,0.062,1.578,0.085,0.041
NSLC-0073,0.981,0.984,0.634,0.712,0.967,1.015,0.019,0.022,0.002,0.426,0.498,0.037,0.556,0.059,0.02,0.634,0.059,0.02,0.868,0.055,0.044,0.934,0.045,0.036
NSLC-0074,1.342,1.345,1.092,1.18,1.321,1.374,0.034,0.037,0.002,0.582,0.676,0.048,0.965,0.068,0.059,1.053,0.068,0.059,1.175,0.075,0.071,1.216,0.074,0.085
